wcet duration memreq mem_active_ratio
28 1919 12 0.108400
27 1871 8 0.050300
19 1130 9 0.162700
10 607 14 0.075100
28 1312 14 0.126700
16 1193 8 0.063100
11 591 9 0.042600
29 1251 7 0.084600
25 1187 5 0.155000
29 1640 12 0.143400
21 1087 6 0.135900
17 1095 9 0.115100
26 748 11 0.070700
12 774 13 0.129500
15 842 11 0.085200
12 657 12 0.120200
24 1366 10 0.017300
16 879 13 0.017300
26 1711 9 0.129800
24 1784 6 0.141600
29 1213 10 0.108700
14 778 10 0.160600
30 2168 13 0.049600
26 1294 11 0.046000
18 1255 6 0.085600
18 1059 9 0.159700
13 897 9 0.056200
12 581 15 0.104900
28 1991 8 0.056600
12 856 10 0.078700
27 2100 12 0.067000
25 1296 7 0.110100
23 1298 9 0.064800
27 1153 8 0.073200
29 1777 8 0.063100
20 879 10 0.056400
26 1320 8 0.141700
28 1546 10 0.126100
27 1490 12 0.111800
24 1579 9 0.053000
12 701 10 0.164300
24 1909 11 0.074800
11 591 8 0.014100
16 896 12 0.158300
19 1022 11 0.103500
26 1168 8 0.111700
14 735 10 0.058100
15 1067 11 0.062700
25 1520 11 0.106000
20 1298 10 0.085900
14 875 13 0.031800
30 2001 6 0.168200
24 1314 10 0.149600
28 1378 10 0.090200
29 2045 7 0.065500
30 2188 11 0.083100
22 1512 12 0.102800
22 1272 10 0.120100
16 881 11 0.016200
17 526 13 0.158600
20 1219 12 0.094600
26 1418 11 0.091200
15 897 6 0.110300
18 931 10 0.102500
25 1570 9 0.108700
11 651 8 0.094300
28 1859 15 0.157600
16 1038 7 0.172600
30 1878 13 0.095100
16 956 15 0.066100
23 1147 9 0.086400
16 818 9 0.119800
17 1050 6 0.095400
25 917 10 0.036900
15 703 9 0.195100
20 1178 9 0.167500
10 673 7 0.054900
18 840 10 0.042400
18 1320 11 0.145800
28 1731 9 0.107500
19 1046 10 0.053500
28 1273 10 0.137100
13 508 12 0.059100
10 589 14 0.066000
19 985 9 0.065400
10 664 13 0.070800
20 1156 9 0.141000
14 482 7 0.131300
30 1787 8 0.140800
16 524 8 0.135100
30 1491 14 0.070300
25 901 9 0.058800
28 1952 8 0.105900
20 631 12 0.070600
16 1144 7 0.087500
14 864 10 0.130400
18 1233 10 0.121900
29 1406 12 0.103800
10 607 10 0.157200
20 1347 9 0.063600
